:ID|name:STRING|GO:STRING[]
AT5G12880|AT5G12880|GO:0005739,GO:0005515,GO:0008219,GO:0009888,GO:0010035,GO:0031347,GO:0033993,GO:0042742,GO:0045087,GO:0048367,GO:0071310
AT1G25490|RCN1|GO:0000159,GO:0005737,GO:0005737,GO:0006470,GO:0019888,GO:0005515,GO:0005515,GO:0009723,GO:0009926,GO:0005515,GO:0009738,GO:0009789,GO:0010119,GO:0009505,GO:0005515,GO:0005515,GO:0005886,GO:0005634,GO:0005515,GO:0035304,GO:1901149,GO:0005515,GO:0005515,GO:0005634,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0000159,GO:0019888,GO:0019888,GO:0019888,GO:0043666
AT1G31240|AT1G31240|GO:0005634,GO:0005669,GO:0046982,GO:0016070,GO:0018130,GO:0019438,GO:0019760,GO:0044271,GO:1901362
AT3G62310|AT3G62310|GO:0003676,GO:0003723,GO:0003724,GO:0003724,GO:0004386,GO:0005622,GO:0005634,GO:0005634,GO:0005634,GO:0005730,GO:0003729,GO:0000398,GO:0009793,GO:0010468,GO:0010604,GO:0016070,GO:0019219
AT3G26030|ATB' DELTA|GO:0000159,GO:0005634,GO:0007165,GO:0019888,GO:0005730,GO:0005737,GO:0005515,GO:0007165,GO:0009059,GO:0010468,GO:0016070,GO:0040007
AT5G19150|AT5G19150|GO:0009507,GO:0009507,GO:0047453,GO:0110051,GO:0005739,GO:0005829,GO:0006734,GO:0006739,GO:0009507,GO:0047453
AT4G09010|AT4G09010|GO:0000302,GO:0004601,GO:0009507,GO:0009507,GO:0009507,GO:0020037,GO:0034599,GO:0034599,GO:0042744,GO:0009543,GO:0031977,GO:0009543,GO:0009579,GO:0009535,GO:0009535,GO:0005634,GO:0005737,GO:0009507,GO:0009543,GO:0016688,GO:0005515,GO:0009534,GO:0009507,GO:0005829,GO:0009543
AT2G28900|OEP16-1|GO:0009507,GO:0009707,GO:0015171,GO:0042803,GO:0045037,GO:0009941,GO:0009941,GO:0000325,GO:0005515,GO:0009611,GO:0009753,GO:0009744,GO:0009749,GO:0009409,GO:0009527,GO:0045037,GO:0009507,GO:0009941,GO:0009707,GO:0015171,GO:0009536,GO:0005777,GO:0003729
AT1G21410|SKP2A|GO:0005634,GO:0005634,GO:0016567,GO:0019005,GO:0031146,GO:0005515,GO:0005515,GO:0019005,GO:0031146,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0005634,GO:0010311,GO:0051781,GO:0004842,GO:0016567,GO:0019005,GO:0031146,GO:0071365,GO:0005515,GO:0005515,GO:0005634
AT5G23130|AT5G23130|GO:0005634,GO:0005515,GO:0005515,GO:0036211,GO:0071310,GO:0097305
