:ID|name:STRING|GO:STRING[]
AT5G51780|bHLH|GO:0000977,GO:0000981,GO:0005634,GO:0006357,GO:0046983,GO:0090575,GO:0003700,GO:0006355,GO:0003700,GO:0006355
AT4G29510|PRMT11|GO:0005634,GO:0005634,GO:0035242,GO:0005515,GO:0005634,GO:0005634,GO:0005730,GO:0005737,GO:0016274,GO:0006364,GO:0006996,GO:0009451,GO:0016071
AT1G02680|TAF13|GO:0005634,GO:0006366,GO:0006366,GO:0046982,GO:0005634,GO:0009793,GO:0009960,GO:0048316
AT5G11450|AT5G11450|GO:0005509,GO:0005739,GO:0009507,GO:0009654,GO:0015979,GO:0019898,GO:0031977,GO:0009535,GO:0009579,GO:0009507,GO:0009507,GO:0005886,GO:0006810,GO:0009266,GO:0009314,GO:0009793,GO:0019538,GO:0043412
AT4G26910|E2- OGDH1|GO:0004149,GO:0004149,GO:0005739,GO:0005739,GO:0005739,GO:0006099,GO:0033512,GO:0045252,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0008270,GO:0005739,GO:0005829
AT1G05710|AT1G05710|GO:0000978,GO:0000981,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006357,GO:0046983,GO:0003700,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515
AT3G07500|FRF2|GO:0003674,GO:0005634,GO:0010431,GO:0019538,GO:0043170
AT1G65480|AT1G65480|GO:0005737,GO:0005737,GO:0009911,GO:0008429,GO:0009911,GO:0005515,GO:0005515,GO:0005634,GO:0005737,GO:0005515,GO:0005515,GO:0048573,GO:0005515,GO:0009909,GO:0010119,GO:0005515,GO:0005515,GO:0010022
AT3G22550|FLZ8|GO:0005634,GO:0009744,GO:0009749,GO:0042594,GO:0071456,GO:0005515,GO:0005515,GO:0005783,GO:0009749
AT3G13860|HSP60-3A|GO:0006457,GO:0009507,GO:0042026,GO:0140662,GO:0005739,GO:0005739,GO:0000325,GO:0005739,GO:0005739,GO:0005829,GO:0005739
AT5G22340|AT5G22340|GO:0003674,GO:0009507,GO:0009507,GO:0008610,GO:0009059,GO:0009416,GO:0015994,GO:0016070,GO:0019538,GO:0033014,GO:0043412
AT3G15360|TRX-M4|GO:0005737,GO:0009507,GO:0015035,GO:0015035,GO:0006979,GO:0008047,GO:0009579,GO:0009941,GO:0009535,GO:0009579,GO:0009505,GO:0009579,GO:0009507,GO:0004857,GO:0006109,GO:0043086,GO:0009570,GO:0009941,GO:0009507,GO:0005829
AT4G35770|SEN1|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0009507,GO:0009507,GO:0006979,GO:0009611,GO:0009753
AT1G74910|KJC1|GO:0005737,GO:0005737,GO:0005737,GO:0005737,GO:0009058,GO:0005777,GO:0005777,GO:0005777,GO:0046686,GO:0005515,GO:0000976,GO:0000976,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:2000082,GO:0005515,GO:0005515
AT4G31800|WRKY18|GO:0003700,GO:0003700,GO:0005634,GO:0005634,GO:0005737,GO:0006355,GO:0043565,GO:0003700,GO:0003700,GO:0003700,GO:0031347,GO:0009751,GO:0042742,GO:0005515,GO:0005515,GO:0005634,GO:0042802,GO:0050832,GO:0003700,GO:0031347,GO:0050691,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0042802,GO:0002237,GO:0005515,GO:0005515
AT5G59210|AT5G59210|GO:0003674,GO:0005576,GO:0005576,GO:0006996,GO:0009888,GO:0010015,GO:0030154,GO:0048229,GO:0071695
AT1G12860|SCRM2|GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0043565,GO:0046983,GO:0003700,GO:0006355,GO:0003700,GO:0005515,GO:0010444,GO:0050826,GO:0000976,GO:0005515
AT2G47750|GH3.9|GO:0005737,GO:0016881,GO:0009941,GO:0009416,GO:0019760
AT4G33950|OST1|GO:0004674,GO:0005634,GO:0005737,GO:0005737,GO:0006468,GO:0035556,GO:0009414,GO:0009737,GO:0010119,GO:0004672,GO:0009931,GO:0004672,GO:0009414,GO:0009737,GO:0009738,GO:0010119,GO:0009737,GO:0010119,GO:2000377,GO:0006970,GO:0009651,GO:0009737,GO:0016301,GO:0005515,GO:0009414,GO:0010118,GO:0042742,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0005737,GO:0009414,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005985,GO:0006636,GO:0009737,GO:0019432,GO:0048366,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005829,GO:0005829,GO:0006970,GO:0046777,GO:0046777,GO:0005515,GO:0042802,GO:0005515,GO:1902456,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0009789,GO:0005515,GO:0005634,GO:0005515,GO:0005515,GO:0005886,GO:0009737,GO:0071244,GO:0071485,GO:0090333,GO:0005515,GO:0005515,GO:0005515,GO:0005515
AT1G71230|CSN5B|GO:0000338,GO:0005634,GO:0005634,GO:0005737,GO:0008180,GO:0008237,GO:0008237,GO:0019784,GO:0008180,GO:0009640,GO:0000338,GO:0009733,GO:0010100,GO:0005515,GO:0010387,GO:0010971,GO:0005515,GO:0045732,GO:2000082,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515
AT3G44460|DPBF2|GO:0005634,GO:0005634,GO:0003700,GO:0003700,GO:0005634,GO:0045893,GO:0000976
AT1G01160|GIF2|GO:0003713,GO:0005634,GO:0005634,GO:0003713,GO:0005515,GO:0005515,GO:0005634,GO:0045787,GO:0048366,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634
AT1G25470|CRF12|GO:0005634,GO:0005634,GO:0006355,GO:0003700,GO:0009555,GO:0000976,GO:0005515
AT4G03020|AT4G03020|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0043161,GO:0080008,GO:0080008,GO:0080008,GO:0009416,GO:0010468,GO:0010605,GO:0016070
AT1G09100|RPT5B|GO:0005634,GO:0008540,GO:0016887,GO:0036402,GO:0043161,GO:0010255,GO:0009553,GO:0009555,GO:0010498,GO:0000502,GO:0005829,GO:0005576
AT1G75990|AT1G75990|GO:0005634,GO:0006511,GO:0008541,GO:0030234,GO:0042176,GO:0006511,GO:0030163,GO:0000502,GO:0005739
AT5G09260|VPS20.2|GO:0000815,GO:0005737,GO:0005771,GO:0006900,GO:0007034,GO:0032511,GO:0016192,GO:0000815,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005770,GO:0005829,GO:0005886,GO:0070676,GO:0005515,GO:0005886
AT5G07110|PRA1.B6|GO:0003674,GO:0005783,GO:0005794,GO:0005886,GO:0016192,GO:0005783,GO:0016192,GO:0005794
AT2G42395|AT2G42395|GO:0003674,GO:0005575,GO:0044085
AT3G10340|PAL4|GO:0005737,GO:0009800,GO:0045548,GO:0045548,GO:0005515,GO:0005515,GO:0005515,GO:0006952,GO:0008610,GO:0009414,GO:0009416,GO:0009651,GO:0009698,GO:0009699,GO:0030154,GO:0033993,GO:0042742,GO:0044248,GO:0051239,GO:0051510,GO:1901575,GO:2000241
AT4G29350|PFN2|GO:0003785,GO:0005737,GO:0005938,GO:0042989,GO:0005515,GO:0005886,GO:0009507,GO:0005829,GO:0005829,GO:0010229,GO:0048366,GO:0048527,GO:0005886,GO:0010494,GO:0005737,GO:0008154
AT1G10030|ERG28|GO:0005739,GO:0005783,GO:0030674,GO:0005783,GO:0030674,GO:2000012
AT1G15080|LPP2|GO:0005737,GO:0006644,GO:0008195,GO:0008195,GO:0009738,GO:0003993
AT1G12840|DET3|GO:0000221,GO:0000221,GO:0005886,GO:0009826,GO:0046961,GO:0005773,GO:0005773,GO:0000325,GO:0009809,GO:0043255,GO:0005515,GO:0000325,GO:0005774,GO:0000325,GO:0005886,GO:0009507,GO:0005829,GO:0005515,GO:0005794,GO:0005773,GO:0005576
AT4G15545|NAIP1|GO:0005829,GO:0005515,GO:0005783,GO:0010168,GO:0043621,GO:0080119
AT1G24996|AT1G24996|GO:0003674,GO:0005575,GO:0048367,GO:0050793,GO:0051171,GO:0080090,GO:2000241
AT2G30580|DRIP2|GO:0004842,GO:0005634,GO:0005737,GO:0005737,GO:0004842,GO:0005515,GO:0009414,GO:0016567,GO:0051865,GO:0005515,GO:0005515,GO:0005515
AT3G52050|OEX1|GO:0003887,GO:0005634,GO:0005634,GO:0005634,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0017108,GO:0033567,GO:0010468,GO:0010605,GO:0016070
AT2G15620|NIR1|GO:0009507,GO:0020037,GO:0042128,GO:0048307,GO:0005739,GO:0009570,GO:0009507,GO:0048046,GO:0009570,GO:0009570,GO:0010167,GO:0005829,GO:0009507,GO:0005739,GO:0050421
AT5G52650|eS10x|GO:0003723,GO:0003735,GO:0005737,GO:0022627,GO:0022626,GO:0009505,GO:0022627,GO:0005829,GO:0005515,GO:0003729,GO:0009536,GO:0003729,GO:0005515,GO:0005515,GO:0003002,GO:0044085
AT3G01220|HB20|GO:0000981,GO:0005634,GO:0005634,GO:0043565,GO:0043565,GO:0045893,GO:0003700,GO:0009733,GO:0005515
AT1G05680|UGT74E2|GO:0005737,GO:0009507,GO:0016757,GO:0080043,GO:0080044,GO:0035251,GO:0010016,GO:0042631,GO:0052638,GO:0070301,GO:0071215,GO:0071475,GO:0080024
AT5G48230|ACAT2|GO:0003985,GO:0005739,GO:0006635,GO:0009507,GO:0009793,GO:0005886,GO:0005886,GO:0005777,GO:0005777,GO:0005777,GO:0003985,GO:0003985,GO:0009846,GO:0009860,GO:0016125,GO:0009536
AT4G37280|MRG1|GO:0000123,GO:0005634,GO:0006355,GO:0016573,GO:0035064,GO:0035064,GO:0048586,GO:1990841,GO:0035267,GO:0005515,GO:0035267
AT2G24850|TAT3|GO:0004838,GO:0005737,GO:0005829,GO:0006520,GO:0006572,GO:0009058,GO:0030170,GO:0009611,GO:0004838,GO:0009611,GO:0009753
AT3G07270|AT3G07270|GO:0003934,GO:0003934,GO:0005525,GO:0005634,GO:0005737,GO:0006729,GO:0008270,GO:0035998,GO:0046654,GO:0003934,GO:0035998
AT4G29240|AT4G29240|GO:0003674,GO:0005576,GO:0005576,GO:0009059,GO:0009753,GO:0009888,GO:0048367,GO:0071554,GO:0098542,GO:1905392
AT5G55200|MGE1|GO:0000774,GO:0000774,GO:0001405,GO:0006457,GO:0009507,GO:0030150,GO:0042803,GO:0051082,GO:0051087,GO:0005739,GO:0005524,GO:0005739,GO:0005739,GO:0005507,GO:0009411
AT4G19030|NLM1|GO:0005886,GO:0005886,GO:0015250,GO:0015267,GO:0055085,GO:0005886,GO:0015105,GO:0015700,GO:0046685,GO:0031347,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0080170,GO:0080170,GO:0015250
AT2G45040|AT2G45040|GO:0004222,GO:0005576,GO:0008270,GO:0030198,GO:0030574,GO:0031012,GO:0016020,GO:0016020,GO:0004222
AT3G59200|AT3G59200|GO:0009507,GO:0009507,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0009888,GO:0016070,GO:0019219
AT3G01860|AT3G01860|GO:0003674,GO:0005634,GO:0005634,GO:0009888
AT5G10060|AT5G10060|GO:0000993,GO:0005576,GO:0031124
AT1G15370|LOLITA|GO:0006886,GO:0006890,GO:0006891,GO:0009507,GO:0030126,GO:0005515
AT2G19650|AT2G19650|GO:0003674,GO:0005634,GO:0009637,GO:0009639,GO:0042742,GO:0050793,GO:0071482
AT3G15640|AT3G15640|GO:0005739,GO:0005739,GO:0005751,GO:0006123,GO:0006123,GO:0005739,GO:0046872,GO:0009535,GO:0008270,GO:0050897,GO:0005739,GO:0005829
AT5G02050|AT5G02050|GO:0003674,GO:0005739,GO:0005759,GO:0005739,GO:0005886,GO:0016070
AT2G18876|AT2G18876|GO:0003674,GO:0005739,GO:0005875,GO:0009888
AT3G03000|AT3G03000|GO:0005509,GO:0005509,GO:0030234,GO:0000325,GO:0005515,GO:0043269
AT4G17950|AHL13|GO:0003680,GO:0005575,GO:0005515,GO:0005515,GO:0006396,GO:0009414,GO:0009888,GO:0010228,GO:0010468,GO:0010605,GO:0014070,GO:0033993,GO:0048580,GO:0048827,GO:0050793,GO:0090567
AT2G35930|PUB23|GO:0005737,GO:0061630,GO:0004842,GO:0005829,GO:0009414,GO:0016567,GO:0002679,GO:0004842,GO:0006952,GO:0051865
AT4G27870|AT4G27870|GO:0005381,GO:0005384,GO:0005634,GO:0005634,GO:0006880,GO:0010168,GO:0016020,GO:0030026,GO:0005886
AT2G30340|LBD13|GO:0005634,GO:0005634,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005634,GO:0010311,GO:0045893,GO:0005515,GO:0005515
AT2G23070|CKA4|GO:0004674,GO:0004674,GO:0005634,GO:0005634,GO:0005829,GO:0005956,GO:0018105,GO:0018107,GO:0051726,GO:0009507,GO:0010019,GO:0010187,GO:0071215,GO:0040008,GO:2000028,GO:0016301,GO:0016310
AT1G76540|CDKB2;1|GO:0000082,GO:0000307,GO:0004693,GO:0005634,GO:0005634,GO:0005737,GO:0006468,GO:0007165,GO:0008353,GO:0010033,GO:0010389,GO:0010468,GO:0030332,GO:0005515,GO:0000086,GO:0000307,GO:0004693,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0009755,GO:0009755,GO:0009934,GO:0010389,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515
AT2G47210|SWC4|GO:0000122,GO:0000812,GO:0003714,GO:0005634,GO:0005634,GO:0005634,GO:0006281,GO:0006338,GO:0035267,GO:0043967,GO:0043968,GO:0045892,GO:0005515,GO:0005515,GO:0005634,GO:0005634,GO:0003677,GO:0005515,GO:0005634,GO:0035267,GO:0000812,GO:0035267
AT5G11740|AGP15|GO:0003674,GO:0005886,GO:0016020,GO:0016020,GO:0006468,GO:0009266,GO:0009414,GO:0009737,GO:0019438,GO:0040007,GO:0071310,GO:0071407
AT3G12470|AT3G12470|GO:0003676,GO:0005634,GO:0005634,GO:0005737,GO:0008408,GO:0009888,GO:0009908,GO:0043170
AT4G14440|HCD1|GO:0004165,GO:0005737,GO:0006635,GO:0006635,GO:0008809,GO:0004165,GO:0004165,GO:0005634,GO:0005777,GO:0005829,GO:0009062
AT1G58110|AT1G58110|GO:0003700,GO:0005634,GO:0005634,GO:0006355,GO:0005515,GO:0006810,GO:0009611,GO:0009892,GO:0010228,GO:0010468,GO:0010604,GO:0016070,GO:0019538,GO:0046907
AT1G17180|GSTU25|GO:0004364,GO:0005737,GO:0006749,GO:0006749,GO:0009507,GO:0005737,GO:0009407,GO:0004364,GO:0046256,GO:0046256
AT4G01580|AT4G01580|GO:0003674,GO:0005634,GO:0016070
AT3G49580|LSU1|GO:0005634,GO:0005634,GO:0005634,GO:0098869,GO:0010438,GO:0009651,GO:0010438,GO:0005515,GO:0005515,GO:0005634,GO:0005737
AT1G03630|POR C|GO:0009507,GO:0009507,GO:0015995,GO:0016630,GO:0015995,GO:0003959,GO:0016630,GO:0009941,GO:0009535,GO:0009507,GO:0009507,GO:0009534,GO:0009941,GO:0005576,GO:0009507
AT4G08150|KNAT1|GO:0000981,GO:0000981,GO:0005634,GO:0003700,GO:0005515,GO:0045165,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0010051,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0010089,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0000976,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0042802,GO:0001708,GO:0003700,GO:0005634
AT1G26570|UGD1|GO:0005634,GO:0005737,GO:0006024,GO:0006065,GO:0051287,GO:0003979,GO:0006065
AT5G06290|2-Cys Prx B|GO:0004601,GO:0006979,GO:0008379,GO:0009507,GO:0009507,GO:0033554,GO:0042744,GO:0045454,GO:0140824,GO:0051920,GO:0009570,GO:0009409,GO:0010319,GO:0009507,GO:0048046,GO:0009570,GO:0009570,GO:0009507,GO:0005886,GO:0045454
AT5G11520|ASP3|GO:0004069,GO:0004069,GO:0005739,GO:0006103,GO:0006531,GO:0006536,GO:0009058,GO:0009507,GO:0030170,GO:0010150,GO:0005777,GO:0005777,GO:0005777,GO:0005829,GO:0005829,GO:0005886,GO:0004069,GO:0009536,GO:0006807
AT1G08830|CSD1|GO:0004784,GO:0005507,GO:0005507,GO:0005737,GO:0005737,GO:0019430,GO:0005829,GO:0006979,GO:0046688,GO:0010039,GO:0034599,GO:0035195,GO:0005737,GO:0071472,GO:0071329,GO:0009651,GO:0010193,GO:0042742,GO:0005515,GO:0005634,GO:0005829,GO:0071280,GO:0005829,GO:0004784,GO:0004784,GO:0006979,GO:0019430,GO:0071457,GO:0071484,GO:0071493
AT4G19840|PP2-A1|GO:0005575,GO:0030246,GO:0030246,GO:0009625,GO:0043394
AT5G50600|HSD1|GO:0005829,GO:0008202,GO:0009507,GO:0070524,GO:0072582,GO:0102196,GO:0008202,GO:0070524,GO:0072555,GO:0072582,GO:0009737,GO:0009741
AT4G26080|ABI1|GO:0004722,GO:0005737,GO:0009788,GO:0017018,GO:0035970,GO:0009409,GO:0009408,GO:0005515,GO:0009788,GO:0010119,GO:0005515,GO:0005634,GO:0009787,GO:0009409,GO:0009788,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0019901,GO:0019901,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0004721,GO:0006470,GO:0006470,GO:0005515,GO:0016791,GO:0019900,GO:0009737,GO:0005515,GO:0009788,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005509,GO:0005509,GO:0009737,GO:0004722,GO:0004722,GO:0006470,GO:0008287
AT1G50170|SIRB|GO:0005576,GO:0009507,GO:0019354,GO:0009507,GO:0019354,GO:0051266,GO:0009507,GO:0006979,GO:0005515,GO:0042802,GO:0051536,GO:0005515
AT1G15260|AT1G15260|GO:0003674,GO:0005575,GO:0006629,GO:0009059
AT5G24314|PTAC7|GO:0009507,GO:0009507,GO:0042644,GO:0000427,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0009416,GO:0009507,GO:0009658,GO:0010027,GO:0042793,GO:0009735,GO:0005515,GO:0005634
AT3G59530|LAP3|GO:0005739,GO:0005739,GO:0005739,GO:0009058,GO:0010584,GO:0016787,GO:0016844,GO:0009555,GO:0010584
AT2G13360|AGT|GO:0004760,GO:0005777,GO:0008453,GO:0019265,GO:0004760,GO:0005777,GO:0008453,GO:0009853,GO:0050281,GO:0005886,GO:0005886,GO:0005777,GO:0005777,GO:0005777,GO:0009507,GO:0009507,GO:0048046,GO:0048046,GO:0009570,GO:0009570,GO:0005829,GO:0005739,GO:0003729
AT5G17290|APG5|GO:0000045,GO:0000422,GO:0005737,GO:0006501,GO:0006995,GO:0019776,GO:0034045,GO:0034274,GO:0044804,GO:0006914,GO:0010150,GO:0042594,GO:0010150,GO:0050832
AT4G01150|CURT1A|GO:0009507,GO:0009535,GO:0009579,GO:0009941,GO:0009535,GO:0009535,GO:0010287,GO:0009507,GO:0009507,GO:0009579,GO:0009534,GO:0005515,GO:0009515,GO:0090391,GO:0097753,GO:0005829
AT2G38660|AT2G38660|GO:0004477,GO:0004477,GO:0004488,GO:0004488,GO:0005737,GO:0005737,GO:0005737,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0005829,GO:0035999,GO:0035999
AT1G77080|AT1G77080|GO:0000978,GO:0000981,GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0006357,GO:0009910,GO:0046983,GO:0003700,GO:0006355,GO:0003700,GO:0003700,GO:0009909,GO:0009910,GO:0005515,GO:0005515,GO:0005515,GO:0048573,GO:0005515,GO:0005515
AT3G62410|CP12-2|GO:0005507,GO:0009507,GO:0009507,GO:0016151,GO:0080153,GO:0009416,GO:0009570,GO:0009744,GO:0018316,GO:0019253,GO:0005515,GO:0005515,GO:0009507,GO:0009570,GO:0009416,GO:0034605,GO:0070417,GO:0071454,GO:0009507,GO:0032991,GO:0080153,GO:0009507,GO:0005829
AT4G09800|RPS18C|GO:0005737,GO:0005829,GO:0006412,GO:0015935,GO:0015935,GO:0005730,GO:0000325,GO:0009505,GO:0022627,GO:0005829,GO:0009506,GO:0005794,GO:0005829,GO:0003729
AT5G10160|AT5G10160|GO:0006633,GO:0008659,GO:0009507,GO:0019171,GO:0009505,GO:0009507,GO:0009534,GO:0009941,GO:0005886,GO:0009888,GO:0048869
AT1G80890|OEP9.2|GO:0003674,GO:0005634,GO:0043412
AT3G19950|BTL08|GO:0005634,GO:0005634,GO:0005634,GO:0005737,GO:0016567,GO:0016567,GO:0061630,GO:0061630
AT2G18240|AT2G18240|GO:0003674,GO:0005886,GO:0005886,GO:0006621,GO:0006890
AT1G05575|HUP17|GO:0003674,GO:0009061,GO:0009061,GO:0005783
AT3G02190|eL39y|GO:0003674,GO:0006412,GO:0022625,GO:0022625,GO:0005829,GO:0016070
AT1G50420|SCL3|GO:0003700,GO:0005634,GO:0005634,GO:0006355,GO:0009739,GO:0043565,GO:0003700,GO:0003700,GO:0006355,GO:0005634,GO:0009739,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515,GO:0005515
AT1G26460|AT1G26460|GO:0005739,GO:0005739,GO:0003729,GO:0043412
AT1G68560|XYL1|GO:0004553,GO:0005576,GO:0030246,GO:0061634,GO:0009044,GO:0045493,GO:0046556,GO:0009505,GO:0048046,GO:0009505,GO:0046686,GO:0010411,GO:0080176,GO:0005829,GO:0009506,GO:0005739
AT4G30490|AT4G30490|GO:0005737,GO:0005739,GO:0005739,GO:0009507,GO:0016887,GO:0016887,GO:0005515,GO:0005516,GO:0005739,GO:0009507,GO:0001666,GO:0006629,GO:0007165,GO:0009408,GO:0009414,GO:0009651,GO:0009737,GO:0010150,GO:0016070,GO:0019752,GO:0031326,GO:0031668,GO:0044085,GO:0048367,GO:0071310,GO:1901701
AT3G07750|RRP42|GO:0000176,GO:0000177,GO:0000467,GO:0003674,GO:0005737,GO:0005737,GO:0034427,GO:0034473,GO:0034475,GO:0034476,GO:0043928,GO:0071028,GO:0071035,GO:0071038,GO:0071042
AT4G00720|SK32|GO:0004674,GO:0005634,GO:0005737,GO:0007165,GO:0005634,GO:0009741,GO:0016301,GO:0004674,GO:0046777
AT1G29900|CARB|GO:0005737,GO:0006526,GO:0006541,GO:0009507,GO:0044205,GO:0016036,GO:0009570,GO:0006526,GO:0009507,GO:0009570,GO:0009570,GO:0005829,GO:0004088,GO:0005951,GO:0009507
AT1G64530|NLP6|GO:0003700,GO:0005634,GO:0003700,GO:0006355,GO:0000987,GO:0000987,GO:0001216,GO:0000976,GO:0000976,GO:0009637,GO:0009826,GO:0043170,GO:0048588,GO:0051128,GO:0071482
AT2G44090|AT2G44090|GO:0003674,GO:0005634,GO:0005634,GO:0005634,GO:0030154
AT2G29350|SAG13|GO:0005739,GO:0009507,GO:0004022,GO:0002213,GO:0005777,GO:0005886,GO:0031347
AT1G06290|ACX3|GO:0003997,GO:0005504,GO:0005777,GO:0033540,GO:0033540,GO:0050660,GO:0055088,GO:0071949,GO:0003997,GO:0006635,GO:0051791,GO:0005576
AT5G54920|AT5G54920|GO:0003723,GO:0003729,GO:0005634,GO:0005634,GO:0010494,GO:0034063
AT5G62950|AT5G62950|GO:0000166,GO:0005634,GO:0005634,GO:0005634,GO:0005634,GO:0005666,GO:0005666,GO:0006384,GO:0006384,GO:0009507
AT5G42990|UBC18|GO:0000209,GO:0005634,GO:0005634,GO:0016567,GO:0043161,GO:0061631,GO:0061631,GO:0006511,GO:0005515
AT5G60910|AGL8|GO:0000977,GO:0000978,GO:0000981,GO:0003700,GO:0005634,GO:0005634,GO:0005634,GO:0006355,GO:0006357,GO:0045944,GO:0046983,GO:0003700,GO:0003700,GO:0005515,GO:0005515,GO:0005515,GO:0009911,GO:0010077,GO:0005515,GO:0005515,GO:0009911,GO:0043565,GO:0060560,GO:0000976,GO:0010154
AT5G14740|CA2|GO:0004089,GO:0005737,GO:0005737,GO:0005737,GO:0005737,GO:0005737,GO:0008270,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0015976,GO:0009941,GO:0009535,GO:0009570,GO:0005829,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0009507,GO:0048046,GO:0048046,GO:0048046,GO:0048046,GO:0048046,GO:0009570,GO:0009941,GO:0005829,GO:0009536,GO:0006996,GO:0008610,GO:0009409,GO:0009416,GO:0009617,GO:0009642,GO:0042440,GO:0044271,GO:0044283,GO:0065003,GO:0098542,GO:0005737
AT1G56330|SAR1B|GO:0003400,GO:0003924,GO:0003924,GO:0006886,GO:0006886,GO:0006888,GO:0016050,GO:0030127,GO:0061024,GO:0070863,GO:0070971,GO:0005525,GO:0005886,GO:0005515,GO:0005515,GO:0005783,GO:0005525,GO:0005783,GO:0005829,GO:0006888
AT1G18800|NRP2|GO:0000785,GO:0003682,GO:0005634,GO:0005634,GO:0006334,GO:0042393,GO:0005634,GO:0003682,GO:0005634,GO:0005737,GO:0010311,GO:0030154,GO:0042393,GO:0051301,GO:0016444,GO:0005829,GO:0000724
AT3G59080|AT3G59080|GO:0003674,GO:0005576,GO:0005576,GO:0002237,GO:0006355,GO:0006970,GO:0009409,GO:0009611,GO:0009626,GO:0009751,GO:0009755,GO:0010035,GO:0031347,GO:0033993,GO:0042742,GO:0050832,GO:0097305,GO:0098542,GO:1901701
AT2G43640|AT2G43640|GO:0005737,GO:0005737,GO:0005737,GO:0005786,GO:0006614,GO:0008312,GO:0030942,GO:0045047,GO:0005829
AT4G02720|MAS2|GO:0003682,GO:0005634,GO:0005634,GO:0010468,GO:0005634,GO:0005731,GO:0044030,GO:2000232
AT1G01640|AT1G01640|GO:0005737,GO:0005737,GO:0009908,GO:0016567,GO:0005515
